"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 24 23:09:18 EDT 2023","Mon Jul 24 23:09:25 EDT 2023","7024","","Learn Frames","","","","How to handle Frames",""
"unknown","Mon Jul 24 23:09:32 EDT 2023","Mon Jul 24 23:09:36 EDT 2023","4407","","End to End Test","","","","Perform End to End Testing",""
"passed","Mon Jul 24 21:16:41 EDT 2023","Mon Jul 24 21:16:51 EDT 2023","10181","","My login","","","","should login with valid credentials Smoke",""
"passed","Mon Jul 24 23:09:38 EDT 2023","Mon Jul 24 23:09:52 EDT 2023","14492","","My login","","","","should login with valid credentials -Smoke",""
"passed","Mon Jul 24 23:09:18 EDT 2023","Mon Jul 24 23:09:19 EDT 2023","1710","","Handling Alerts","","","","How to take Alert",""
"unknown","Mon Jul 24 22:45:51 EDT 2023","Mon Jul 24 22:45:57 EDT 2023","5759","","Handling Tables","","","","How to handle Table",""
"passed","Mon Jul 24 23:09:39 EDT 2023","Mon Jul 24 23:09:46 EDT 2023","6540","","Sscreenshot Test","","","","How to take screen",""
"unknown","Mon Jul 24 23:09:36 EDT 2023","Mon Jul 24 23:10:36 EDT 2023","60014","","Dynamic Dropdown","","","","Use of Dynamic Dropdwon",""
"passed","Mon Jul 24 23:09:21 EDT 2023","Mon Jul 24 23:09:24 EDT 2023","2809","","Boolean Functions","","","","Use of Boolean Functions",""
"passed","Mon Jul 24 21:08:27 EDT 2023","Mon Jul 24 21:08:37 EDT 2023","9767","","My login","","","","should login with valid credentials",""
"broken","Mon Jul 24 23:09:52 EDT 2023","Mon Jul 24 23:10:43 EDT 2023","50667","","My login","","","","",""
"broken","Mon Jul 24 23:09:22 EDT 2023","Mon Jul 24 23:09:34 EDT 2023","12355","","List of WebElements","","","","How to grab list of webelements",""
"passed","Mon Jul 24 23:09:18 EDT 2023","Mon Jul 24 23:09:19 EDT 2023","1190","","Handling ChildWindows","","","","Handlie child window",""
"unknown","Mon Jul 24 23:09:27 EDT 2023","Mon Jul 24 23:09:33 EDT 2023","5430","","Scrolling Test","","","","How to scroll",""
"passed","Mon Jul 24 21:14:49 EDT 2023","Mon Jul 24 21:15:00 EDT 2023","10266","","My login","","","","should login with valid credentials - Smoke",""
